timestamp [ns],gaze x [px],gaze y [px],azimuth [deg],elevation [deg]
1760637382439464161,847.355712890625,856.5574340820312,0.18862682983007487,-18.74356669108075
1760637382444451161,847.355712890625,856.5625610351562,0.18862682983007487,-18.743894372388574
1760637382449451161,847.3556518554688,856.5662231445312,0.18861999964090487,-18.744128652521383
1760637382454454161,847.3556518554688,856.56884765625,0.18861999964090487,-18.74429708587607
1760637382459451161,847.3556518554688,856.57080078125,0.18861999964090487,-18.744422645072884
1760637382464450161,847.3556518554688,856.5723266601562,0.18861999964090487,-18.744520642353628
1760637382469450161,847.3556518554688,856.5734252929688,0.18861999964090487,-18.744589546633353
1760637382474450161,847.3556518554688,856.5743408203125,0.18861999964090487,-18.74464926363118
1760637382479450161,847.3556518554688,856.5750122070312,0.18861999964090487,-18.74469213733791
1760637382484450161,847.3556518554688,856.5755004882812,0.18861999964090487,-18.744722761408443
1760637382489449161,847.3556518554688,856.5758666992188,0.18861999964090487,-18.744745729444023
1760637382494452161,847.3556518554688,856.576171875,0.18861999964090487,-18.744765635077833
1760637382499449161,847.3556518554688,856.576416015625,0.18861999964090487,-18.74478094709448
1760637382504449161,847.3556518554688,856.5765991210938,0.18861999964090487,-18.74479319671382
1760637382509449161,847.3556518554688,856.5767211914062,0.18861999964090487,-18.744800852719983
1760637382514449161,847.3556518554688,856.5768432617188,0.18861999964090487,-18.744808508738828
1760637382519458161,847.3556518554688,856.576904296875,0.18861999964090487,-18.744813102336437
1760637382524448161,847.3556518554688,856.5769653320312,0.18861999964090487,-18.744816164743614
1760637382529448161,847.3556518554688,856.5770263671875,0.18861999964090487,-18.744820758340804
1760637382534573161,847.3556518554688,856.5770263671875,0.18861999964090487,-18.744820758340804
1760637382539577161,847.3556518554688,856.5770874023438,0.18861999964090487,-18.744823820747687
1760637382544573161,847.3556518554688,856.5770874023438,0.18861999964090487,-18.744823820747687
1760637382549573161,847.3556518554688,856.5770874023438,0.18861999964090487,-18.744823820747687
1760637382554572161,847.3556518554688,856.5770874023438,0.18861999964090487,-18.744823820747687
1760637382559572161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382564572161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382569572161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382574572161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382579572161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382584572161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382589579161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382594571161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382599571161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382604571161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382609571161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382614571161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382619570161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382624578161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382629570161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382634581161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382639570161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382644573161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382649576161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382654569161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382659569161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382664694161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382669694161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382674694161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382679694161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382684694161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382689693161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382694693161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382699693161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382704693161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382709693161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382714692161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382719693161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382724692161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382729700161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382734692161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382739692161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382744696161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382749701161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382754691161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382759691161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382764691161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382769691161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
1760637382774691161,847.3556518554688,856.5771484375,0.18861999964090487,-18.744828414344457
